!
!Date: 09/26/2016
!From: Saccharomyces Genome Database (SGD) 
!URL: http://www.yeastgenome.org/ 
!Contact Email: sgd-helpdesk@lists.stanford.edu 
!Funding: NHGRI at US NIH, grant number 5-U41-HG001315 
!

Gene	Gene Systematic Name	Phenotype	Experiment Type	Experiment Type Category	Mutant Information	Strain Background	Chemical	Details	Reference
APS3	YJL024C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
APT1	YML022W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
APT2	YDR441C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AQR1	YNL065W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AQY1	YPR192W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AQY2	YLL052C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AQY2	YLL052C	viable 	classical genetics	classical genetics	null	S288C			Ahmed Khan S, et al. (2000) PMID:11113969
AQY3	YFL054C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ARA1	YBR149W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ARA1	YBR149W	viable 	classical genetics	classical genetics	null	S288C			Petrash JM, et al. (2001) PMID:11306085
ARA2	YMR041C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ARC1	YGL105W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ARC1	YGL105W	viable 	classical genetics	classical genetics	null	Other			Simos G, et al. (1996) PMID:8895587
ARC18	YLR370C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ARC40	YBR234C	viable 	classical genetics	classical genetics	null Allele: arc40-delta deletion from amino acid 67-295	S288C			Pan F, et al. (2004) PMID:15485833
ARD1	YHR013C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ARD1	YHR013C	viable 	classical genetics	classical genetics	null	Other			Whiteway M and Szostak JW (1985) PMID:3907857
ARD1	YHR013C	viable 	classical genetics	classical genetics	null	Other			Polevoda B, et al. (1999) PMID:10545125
ARE1	YCR048W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ARE2	YNR019W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ARF1	YDL192W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ARF2	YDL137W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ARF3	YOR094W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ARG1	YOL058W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ARG2	YJL071W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ARG3	YJL088W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ARG3	YJL088W	viable 	classical genetics	classical genetics	null	Sigma1278b			Crabeel M, et al. (1988) PMID:2897249
ARG4	YHR018C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ARG5,6	YER069W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ARG7	YMR062C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ARG80	YMR042W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ARG81	YML099C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ARG82	YDR173C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ARI1	YGL157W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ARK1	YNL020C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ARK1	YNL020C	viable 	classical genetics	classical genetics	null	CEN.PK			Brachat A, et al. (2000) PMID:10649453
ARL1	YBR164C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ARL3	YPL051W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ARN1	YHL040C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ARN2	YHL047C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ARO1	YDR127W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ARO10	YDR380W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ARO2	YGL148W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ARO3	YDR035W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ARO4	YBR249C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ARO7	YPR060C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ARO8	YGL202W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ARO8	YGL202W	viable 	classical genetics	classical genetics	null	Sigma1278b			Iraqui I, et al. (1998) PMID:9491083
ARO80	YDR421W	viable 	classical genetics	classical genetics	null				Akache B, et al. (2001) PMID:11353088
ARO80	YDR421W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ARO9	YHR137W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ARP1	YHR129C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ARP10	YDR106W	viable 	classical genetics	classical genetics	null	Other			Clark SW and Rose MD (2006) PMID:16291862
ARP2	YDL029W	viable 	classical genetics	classical genetics	null	S288C		Details: 11% of spores lacking ARP2 are viable, but grow slowly relative to wt 	Winter DC, et al. (1999) PMID:10377407
ARP3	YJR065C	viable 	classical genetics	classical genetics	null	S288C		Details: 16% of spores lacking ARP2 are viable, but grow slowly relative to wt 	Winter DC, et al. (1999) PMID:10377407
ARP5	YNL059C	viable 	systematic mutation set comparison of deletion mutant phenotypes between S288C and Sigma1278b strains	large-scale survey	null	S288C			Dowell RD, et al. (2010) PMID:20413493
ARP6	YLR085C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ARP7	YPR034W	viable 	classical genetics	classical genetics	null	S288C			Peterson CL, et al. (1998) PMID:9726966
ARP7	YPR034W	viable 	classical genetics	classical genetics	null	W303			Cairns BR, et al. (1998) PMID:9844636
ARP8	YOR141C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ARP9	YMR033W	viable 	classical genetics	classical genetics	null	S288C			Peterson CL, et al. (1998) PMID:9726966
ARP9	YMR033W	viable 	classical genetics	classical genetics	null	W303			Cairns BR, et al. (1998) PMID:9844636
ARR1	YPR199C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ARR2	YPR200C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ARR3	YPR201W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ART10	YLR392C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ART5	YGR068C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ART5	YGR068C	viable 	classical genetics	classical genetics	null	W303			Harada Y, et al. (2010) PMID:20074554
ARV1	YLR242C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ARX1	YDR101C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ARX1	YDR101C	viable 	classical genetics	classical genetics	null	Other			Hung NJ and Johnson AW (2006) PMID:16648468
ASC1	YMR116C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ASE1	YOR058C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ASF1	YJL115W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ASF1	YJL115W	viable 	classical genetics	classical genetics	null				Ramey CJ, et al. (2004) PMID:15542840
ASF2	YDL197C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ASG1	YIL130W	viable 	classical genetics	classical genetics	null				Akache B, et al. (2001) PMID:11353088
ASG1	YIL130W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ASG7	YJL170C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ASH1	YKL185W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ASH1	YKL185W	viable 	classical genetics	classical genetics	null				Sil A and Herskowitz I (1996) PMID:8625409
ASI1	YMR119W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ASI2	YNL159C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ASI2	YNL159C	viable 	classical genetics	classical genetics	null	W303		Details: no obvious phenotypes observed for null mutant in FY1679, W303, or CEN.PK2 backgrounds 	Duenas E, et al. (1999) PMID:10028186
ASI3	YNL008C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ASK10	YGR097W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ASM4	YDL088C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ASM4	YDL088C	viable 	classical genetics	classical genetics	null				Miao M, et al. (2006) PMID:16361228
ASN1	YPR145W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ASN2	YGR124W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ASP1	YDR321W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ASR1	YPR093C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ASR1	YPR093C	viable 	classical genetics	classical genetics	null	Other			Betz C, et al. (2004) PMID:15117954
AST1	YBL069W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AST1	YBL069W	viable 	classical genetics	classical genetics	null Allele: ast1::URA3	Other			Chang A and Fink GR (1995) PMID:7822420
AST2	YER101C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ATC1	YDR184C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ATE1	YGL017W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ATF1	YOR377W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ATF2	YGR177C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ATG1	YGL180W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ATG10	YLL042C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ATG11	YPR049C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ATG12	YBR217W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ATG12	YBR217W	viable 	classical genetics	classical genetics	null	S288C			Rodriguez-Navarro S, et al. (1999) PMID:10407271
ATG13	YPR185W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ATG14	YBR128C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ATG14	YBR128C	viable 	classical genetics	classical genetics	null	W303			Kucharczyk R, et al. (1999) PMID:10407278
ATG14	YBR128C	viable 	classical genetics	classical genetics	null	S288C			Kucharczyk R, et al. (1999) PMID:10407278
ATG15	YCR068W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ATG16	YMR159C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ATG17	YLR423C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ATG18	YFR021W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ATG18	YFR021W	viable 	homozygous diploid, systematic mutation set	large-scale survey	null	SK1			Rabitsch KP, et al. (2001) PMID:11470404
ATG19	YOL082W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ATG2	YNL242W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ATG20	YDL113C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ATG21	YPL100W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ATG22	YCL038C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ATG23	YLR431C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ATG23	YLR431C	viable 	classical genetics	classical genetics	null				Meiling-Wesse K, et al. (2004) PMID:14734026
ATG26	YLR189C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ATG27	YJL178C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ATG29	YPL166W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ATG3	YNR007C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ATG3	YNR007C	viable 	classical genetics	classical genetics	null	S288C			Volckaert G, et al. (2003) PMID:12489128
ATG31	YDR022C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ATG31	YDR022C	viable 	classical genetics	classical genetics	null	S288C			Aittamaa M, et al. (2001) PMID:11447599
ATG32	YIL146C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ATG33	YLR356W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ATG33	YLR356W	viable 	homozygous diploid, systematic mutation set	large-scale survey	null	SK1			Rabitsch KP, et al. (2001) PMID:11470404
ATG33	YLR356W	viable 	classical genetics	classical genetics	null	S288C			Kanki T, et al. (2009) PMID:19793921
ATG34	YOL083W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ATG36	YJL185C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ATG38	YLR211C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ATG39	YLR312C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ATG39	YLR312C	viable 	homozygous diploid, systematic mutation set	large-scale survey	null	SK1			Rabitsch KP, et al. (2001) PMID:11470404
ATG4	YNL223W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ATG40	YOR152C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ATG41	YPL250C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ATG5	YPL149W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ATG7	YHR171W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ATG8	YBL078C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ATG9	YDL149W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
